이름,모드,종류,크기,전력,체력,무기,사거리,피해,관통력,폭발 반경,연사,조준(초),재사용(초),추정 DPS,명중(근/중/원),탄속,추가 무기,보호막·특수 성능,특징,실제 적용값(모드 설정),연구,defName
밀리라 그리핀 전투기,Milira Faction: Milira Imperium,전투기,5x5,,1680,전투기용 레이저포,49.9,18 (총상),120%,,1발,0,0.1,180.0,1/1/1,425,,,장전/연료: 태양 연료 600,,함재기 운용,Milira_GriffinFighter
밀리라 프레데터 전투기,Milira Faction: Milira Imperium,전투기,5x5,,2400,전투기용 레이저포,59.9,18 (총상),120%,,1발,0,0.1,180.0,1/1/1,425,FOX 2 미사일 발사기(DPS 1.5),,장전/연료: 태양 연료 1200,,차세대 제공 전투기,Milira_PredatorFighter
밀리라 해리어 전투기,Milira Race,전투기,3x3,,400,입자 미니건,33.9,18 (총상),20%,,12발 / 6틱 간격,0,4,42.4,0.65/0.54/0.42,125,,,장전/연료: 태양 연료 100 / 파괴 시 폭발 반경 3.9,,"역장 항공기, 입자 회랑 집중",Milira_HarrierFighter
밀리라 나글파르급 행성 파괴자 - 돛,Milira:Wings of Democracy,전투기,20x11,,12500,돛 근접 방어 입자 기관총,39.9,12 (총상),24%,,12발 / 6틱 간격,0,5,23.6,1/1/1,120,"돛 근접 방어 입자 기관총(DPS 23.6), 돛 근접 방어 입자 기관총(DPS 23.6), 돛 근접 방어 입자 기관총(DPS 23.6)",,,,나글파르급 행성 파괴함,PLAMilira_Naglfar_Middle
밀리라 나글파르급 행성 파괴자 - 고물,Milira:Wings of Democracy,전투기,8x11,,8500,고물 하이브 미사일 포탑,14.9~42.9,40 (대공 미사일),84%,4.9,4발 / 45틱 간격,0,10,13.1,0.76/0.72/0.66,25,"고물 하이브 미사일 포탑(DPS 13.1), 고물 레일건 유도 전파 탐지기(DPS -)",,,,나글파르급 행성 파괴함,PLAMilira_Naglfar_Right
밀리라 나글파르급 행성 파괴자 - 용골,Milira:Wings of Democracy,전투기,8x11,,8500,용골 근접 방어 기관포,14.9~42.9,15 (폭발),48%,2.4,3발 / 50틱 간격,0,5,6.8,0.65/0.54/0.42,300,"용골 근접 방어 기관포(DPS 6.8), 순항 유도탄 발사기(DPS 2.5)",,,,나글파르급 행성 파괴함,PLAMilira_Naglfar_Left
밀리라 에테르 드레이크 전투기,Milira Faction: Milira Imperium,전투기,5x5,,2400,FOX 3 미사일 발사기,74.9,22 (폭발),200%,3.9,1발,0,8,2.8,-/-/1,90,FOX 2 미사일 발사기(DPS 1.5),,장전/연료: 태양 연료 1600,,차세대 제공 전투기,Milira_DragonFighter
밀리라 와이번 전투기,Milira Faction: Milira Imperium,전투기,5x5,,2880,FOX 3 미사일 발사기,74.9,22 (폭발),200%,3.9,1발,0,8,2.8,-/-/1,90,FOX 2 미사일 발사기(DPS 1.5),,장전/연료: 태양 연료 1200,,차세대 제공 전투기,Milira_WyvernFighter
초중량 기관포 포탑,Brrrt,포탑,5x5,-3000 W,6000,초중량 기관포,50,30 (총상),45%,,50발 / 0.5틱 간격,0,0.01,3585.7,0.75/0.7/0.6,100,,,파괴 시 폭발 반경 3.9 / 장전/연료: 강철 1150 / 포탑 사격 정확도 0.995,,"자동 포탑, 다중 총열",BrrtTurret
초중량 기관포 포탑 (소이),Brrrt,포탑,5x5,-3000 W,6000,초중량 기관포 (소이),50,10 (화염),0%,1,50발 / 0.5틱 간격,0,0.01,1195.2,0.75/0.7/0.6,100,,,파괴 시 폭발 반경 5 / 장전/연료: 화학연료 1150 / 포탑 사격 정확도 0.995,,"자동 포탑, 다중 총열",BrrtTurretFlam
전자기 근접방어 체계,CeleTech Arsenal MKIII,포탑,5x5,-1050 W,1500,4연장 30mm 전자기 근접방어 체계,14.9~64.9,24 (총상),100%,,72발 / 2틱 간격,0.3,0,648.0,0.62/0.56/0.45,126,,,파괴 시 폭발 반경 5.9 / 장전/연료: 강철 1200 / 업그레이드 가능 / 포탑 사격 정확도 0.83,,"구축함급 무장, 신경 연결 조준",CMCcannon_BF
로켓탄막 발사기,코어,포탑,2x2,-150 W,200,로켓탄막 발사관,29.9,24 (폭발),10%,2.9,12발 / 10틱 간격,0,0.1,149.0,0.72/0.66/0.5,38,,,파괴 시 폭발 반경 6.9 / 장전/연료: 화학연료 12 / 포탑 사격 정확도 0.96,,로켓탄막 발사기,Turret_RocketswarmLauncher
중량급 미사일 발사탑,CeleTech Arsenal MKIII,포탑,3x3,-3300 W,4000,미사일 발사대,15.9~500,1190 (폭발 피해),600%,2.1,1발,4.2,10,83.8,1/1/1,50,,,업그레이드 가능 / 파괴 시 폭발 반경 9.9 / 장전/연료: 대전차 미사일 6 / 포탑 사격 정확도 0.2,,"AI 협동 유도, 고급 방어 프로토콜",CMCML
승강식 중기관총 벙커,CeleTech Arsenal MKIII,포탑,3x3,-200 W,10000,중기관총,31.9,19 (총상),124%,,18발 / 10틱 간격,0,1.5,78.9,0.62/0.46/0.35,126,,,업그레이드 가능 / 장전/연료: 강철 2000 / 포탑 사격 정확도 0.87,,전자기 승강기,CMC_ReinforcedBunker
속사 기관포탑,CeleTech Arsenal MKIII,포탑,3x3,-1050 W,900,전하식 근접방어포,54.9,24 (총상),100%,,6발 / 3틱 간격,0.1,1.5,77.8,0.92/0.86/0.85,126,,,파괴 시 폭발 반경 5.9 / 장전/연료: 강철 360 / 업그레이드 가능 / 포탑 사격 정확도 0.83,,"대형 포탑, 고급 방어 프로토콜",CMCcannon
승강식 기관포,CeleTech Arsenal MKIII,포탑,3x3,-200 W,10000,2연장 30mm 기관포탑,46.9,24 (총상),100%,,4발 / 8틱 간격,0,1,68.6,0.82/0.76/0.65,126,,,업그레이드 가능 / 장전/연료: 강철 2000 / 포탑 사격 정확도 0.87,,전자기 승강기,CMC_ReinforcedBunker_R
