세력,모드,defName,기술 수준,영구 적대,기본 적대,숨김(세계지도에 안 보임),전투 병종 수,최고 전투력 병종,주요 전투 병종(전투력),습격 가능,궤도(우주) 습격,설명
길드 결투사,GUILD FACTION ADD-ON - Isekai RPG Leveling,GuildFaction_DuelistTemp,Industrial,예,예,예,7,140,"자경대원(60), 용병 사수(85), 정예 용병(130), 수장(40), 용병 도살자(140), 주민(45), 척탄병(70)",예,,A lone adventurer challenging the colony to prove their worth. Used internally for Guild recruitment duels.
호락스 사이비,Anomaly DLC,HoraxCult,Spacer,예,,예,2,90,"추종자 병사(55), 고위 추종자(90)",예,,
이타킨 우주 해적,Biotech DLC,PirateYttakin,Spacer,예,,,15,160,"멧돼지(55), 유랑자(35), 와르그(160), 용병 중화기병(140), 도살자(50), 용병 도살자(140), 척탄병(70), 용병 사수(85)",예,,"몸집이 크고 털이 많은 이타킨 인종의 우주해적 집단입니다. 그들은 외부인을 상대하는 것을 거부하고, 자신들을 무시하거나 공격하려는 자들에게 맞서 전사들을 소집합니다.\n\n원래 얼음 행성 야타크에 거주하도록 설계된 그들은 현재 많은 세계에서 자신들만의 생활 방식을 추구합니다."
야만 임피드 부족,Biotech DLC,TribeSavageImpid,Neolithic,예,,,11,85,"사냥꾼(80), 궁수(75), 사냥꾼(60), 사수(75), 화살받이(70), 전사(75), 궁수(45), 광전사(65)",예,,"노란색 피부를 가지고 불을 뿜는 포악한 임피드 부족입니다. 이 부족민들은 다른 누구와도 평화롭게 지내고자 하지 않습니다. 이 부족의 전사들은 그들의 속도와 화염 공격을 이용해 적들의 마을과 아이들을 태우는데 도가 텄습니다.\n\n수천 년 동안이나 이 행성에서 살아가며 이 부족의 기원은 잊혀졌습니다. 오래전에 잃어버린 기술을 가진 여행자였을 수도, 혹은 멸망"
웨이스터 우주 해적,Biotech DLC,PirateWaster,Spacer,예,,,16,140,"용병 저격수(110), 황폐자 사수(85), 황폐자 중장보병(140), 유랑자(35), 강도(50), 우주해적(65), 황폐자 두목(130), 황폐자 척탄병(55)",예,,"주로 독소와 오염에 적응하도록 설계된 아인들로 이루어진 소규모 해적 조합입니다. 그들은 폭력을 사용하여 약탈을 통해 살아가는 것을 선호하기 때문에, 건축이나 농사에 관심이 없습니다.\n\n그들의 기술 수준은 최근에 습격한 상대에 따라 달라집니다. 대부분은 화약 무기를 가지고 다니지만, 일부는 근거리에서 찌르는 것을 선호합니다."
드라고니안 사냥단,Chromatic Dragonian / 크로마틱 드라고니안,Dragonian_HuntersFaction_CD,Spacer,예,,예,4,240,"드라고니안 사냥꾼(160), 드라고니안 중화기 사냥꾼(190), 드라고니안 사냥 명사수(200), 드라고니안 사냥대장(240)",예,,드라고니안을 사냥해 부산물을 거래하는 중무장 사냥단입니다.
식인 부족,Ideology DLC,TribeCannibal,Neolithic,예,,,9,85,"궁수(45), 사냥꾼(60), 사수(75), 화살받이(40), 전사(50), 광전사(65), 우두머리(85), 우두머리(85)",예,,이 행성에서 아주 오랜 시간 살아온 사람들입니다. 이들의 조상은 수천 년 전 이곳에 불시착했을지도 모릅니다. 또는 이전에 존재하던 문명사회를 파괴한 재앙에서 살아남은 것일 수도 있습니다. 어떤 경우든 부족들은 대부분 유목민으로 이루어졌으며 오직 원시적인 도구와 무기만을 사용합니다.\n\n이들의 기술적인 약점에도 불구하고 많은 머릿수와 무모한 용기는 이들을 
식인 해적,Ideology DLC,CannibalPirate,Spacer,예,,,13,140,"용병 저격수(110), 용병 중화기병(140), 용병 사수(85), 정예 용병(130), 유랑자(35), 강도(50), 우주해적(65), 대장(130)",예,,"서로 싸우는 대신 외부인과 싸우기로 동의한 느슨한 해적 집단 연합입니다.\n\n해적들은 씨를 뿌리지도 않고, 짓지도 않으며, 거래도 거의 하지 않습니다. 이들은 개인의 힘과 무자비함을 중시하는 피와 명예의 문화에 따라, 더 생산적인 이웃을 습격하고 약탈함으로써 자신들을 풍요롭게 합니다.\n\n그들의 기술 수준은 최근에 누굴 약탈했느냐에 달려 있습니다. 대부"
NCL,Mechanoids: Total Warfare,NCL_factionEnemy,Archotech,예,,예,1,180,이동병정개미(180),예,,특별한 상황에서는 적대 진영에 속하는 NCL 진영을 생성해야 합니다.
밀리라 해적,Milira Faction: Milira Imperium,Milira_Pirate_Faction,Ultra,예,,예,16,480,"폰 I(144), 폰 II(144), 가드(216), 나이트 I(216), 나이트 II(264), 비숍 I(216), 캡틴(288), 비숍 II(216)",예,예,"밀리라 해적은 제국의 통제를 벗어난 약탈자들의 느슨한 연합체로, 크레이돌 출신 밀리라와 제국에서 이탈한 밀리라들이 섞여 있습니다. \n\n밀리라 종족 특유의 강력한 전투력에 의존하는 이 해적들은 행성 전역을 약탈하며 비극의 발자취를 남깁니다. \n\n경고: 이 세력을 비활성화하면 일부 밀리라 제국 퀘스트가 발생하지 않을 수 있습니다!"
