이름,defName,출처 모드,하부구조(중력선 바닥),제공 지형 조건,건설 비용,작업량,아름다움,청결,위에 덮기 가능,연구
중력선 하부 구조물 (경사 선체 표시),NotSubstructure,Angled Hull Expansion,예,"Light,Medium,Heavy,Walkable,Substructure","GravlitePanel 1, Steel 4",600,,,예,
하부 구조물 격자,AWF_HullFraming,Angled Hull Expansion,예,"Light,Medium,Heavy,Walkable",Steel 1,60,,,예,
중량 다리,HeavyBridge,Odyssey DLC,예,"Light,Medium,Heavy,Walkable",Steel 14,2500,,,예,heavy bridges
중력부양선 하부구조,Substructure,Odyssey DLC,예,"Light,Medium,Heavy,Walkable,Substructure","GravlitePanel 1, Steel 4",600,,,예,
다리,Bridge,코어,예,Light,WoodLog 12,1500,,,예,
생체강 바닥,BioferritePlate,Anomaly DLC,,"Light,Medium,Heavy,Walkable,Light,Medium,Heavy",Bioferrite 4,800,-2,0.2,예,bioferrite shaping
나노토양,NanomachineryNaturalsoil,Archotech Expanded,,"Light,Medium,Heavy,Walkable,GrowSoil",Nanomachinery 15,700,20,3,예,"smithing, tree sowing"
아토토양,AttomachineryNaturalsoil,Archotech Expanded,,"Light,Medium,Heavy,Walkable,GrowSoil",Attomachinery 40,800,30,5,예,"smithing, tree sowing"
피코토양,PicomachineryNaturalsoil,Archotech Expanded,,"Light,Medium,Heavy,Walkable,GrowSoil",Picomachinery 25,800,25,4,예,"smithing, tree sowing"
가로 띠 바닥,KS_WoodStripH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 망가진 얇은 띠 바닥,KS_WoodThinplankRoughH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,40,-1,,예,
가로 브릭 본드 바닥,KS_WoodBrickBondH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 얇은 띠 바닥,KS_WoodThinStripH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 얇은 브릭 본드 바닥,KS_WoodThinBrickBondH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 얇은 판자 바닥,KS_WoodThinPlankH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 얇은 혼합 띠 바닥,KS_WoodThinStripMixedH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 얇은 혼합 브릭 본드 바닥,KS_WoodThinBrickBondMixedH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 얇은 혼합 판자 바닥,KS_WoodThinPlankMixedH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 판자 바닥,KS_WoodPlankH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 혼합 띠 바닥,KS_WoodStripMixedH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 혼합 브릭 본드 바닥,KS_WoodBrickBondMixedH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
가로 혼합 판자 바닥,KS_WoodPlankMixedH,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
강철 격자,KS_MetalGrateSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 격자판,KS_MetalGratePlateSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 광택 판,KS_MetalPolishedSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 교차 돌기 판,KS_MetalCrossTreadSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 노비스 타일,KS_MetalNovisSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 돌기판,KS_MetalTreadSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 두루스 타일,KS_MetalDurusSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 디지털 타일,KS_MetalDigitalSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 로쿠스 타일,KS_MetalLocusSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 모듈러 타일,KS_MetalModularSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 스파티움 타일,KS_MetalSpatiumSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 아르크스 타일,KS_MetalArxSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 엑소 타일,KS_MetalExoSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 육각 격자,KS_MetalHexaGrateSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 트리곤 타일,KS_MetalTrigonSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 판,KS_MetalIndustrialSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 패드판,KS_MetalPadSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 프레임 타일,KS_MetalFramedSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 10,1100,1,0.6,예,smithing
강철 프레임 패드판,KS_MetalFramedPadSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
강철 환기판,KS_MetalVentSteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Steel 7,800,0,0.2,예,smithing
교차 격자 파르케,KS_WoodCrosshatch,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
금 격자,KS_MetalGrateGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 격자판,KS_MetalGratePlateGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 광택 판,KS_MetalPolishedGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 교차 돌기 판,KS_MetalCrossTreadGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 노비스 타일,KS_MetalNovisGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 돌기판,KS_MetalTreadGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 두루스 타일,KS_MetalDurusGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 디지털 타일,KS_MetalDigitalGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 로쿠스 타일,KS_MetalLocusGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
