아이템,모드,제작,제작 작업대,구할 수 없는 재료,기타 획득 경로,추정 경로(다른 정의가 언급),공허 추출기 허용,분류,defName
Basic Wear (child) (Dragonian Primus),,제작 가능,"전기 재봉 작업대, 재봉 작업대",,궤도 상인 구매,,,Apparel,DR_BasicWearChild_DP2Unofficial
Spine,,,,,"궤도 상인 구매, 상인 구매","BodyDef: Axolotl, BodyDef: Bird, BodyDef: Bulbfreak, BodyDef: Devourer, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Dreadmeld, BodyDef: Fingerspike, BodyDef: Gorehulk, BodyDef: Human, BodyDef: MUSC_Body_Hydralisk, BodyDef: MUSC_Body_Ulari, BodyDef: MUSC_Body_WalkingScourge, B",,BodyPartsNatural,Spine
dragonian butter (Dragonian Primus),,제작 가능,조미료 작업대,,"궤도 상인 구매, 상인 구매",,,VCE_Condiments,VCE_Butter_DP2Unofficial
dragonian cheese (Dragonian Primus),,,,,,PipeSystem.ProcessDef: VCE_DragonianMilkIntoCheese_DP2Unofficial,,"FoodMeals, VCE_Cheese",VCE_Cheese_DP2Unofficial
dragonian mayo (Dragonian Primus),,제작 가능,조미료 작업대,,"궤도 상인 구매, 상인 구매",,,VCE_Condiments,VCE_Mayo_DP2Unofficial
dragonian white chocolate syrup (Dragonian Primus),,제작 가능,조미료 작업대,,"궤도 상인 구매, 상인 구매",,,VCE_Condiments,VCE_ChocolateSyrup_DP2Unofficial
jaw,,,,,"궤도 상인 구매, 상인 구매","AlienRace.ThingDef_AlienRace: Axolotl, AlienRace.ThingDef_AlienRace: Dragonian_Prime_DP2Unofficial, AlienRace.ThingDef_AlienRace: Dragonian_Race, AlienRace.ThingDef_AlienRace: Milira_Race, BodyDef: Axolotl, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Fingerspike, BodyDef: Gor",,BodyPartsNatural,Jaw
귀,,,,,"궤도 상인 구매, 상인 구매","BodyDef: Axolotl, BodyDef: Devourer, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Human, BodyDef: MUSC_Body_Hydralisk, BodyDef: MUSC_Body_Ulari, BodyDef: MUSC_Body_Zergling, BodyDef: MUSC_Body_ZerglingWinged, BodyDef: Milira_Body, BodyDef: Monkey, BodyDef: Noctol, BodyDef: Qua",,BodyPartsNatural,Ear
뇌,,,,,"궤도 상인 구매, 상인 구매","BionicIconsIconDef: BrainMicrochip, BionicIconsIconDef: BrainPsychic, BionicIconsIconDef: BrainSoft, BionicIconsIconDef: Joywire, BionicIconsIconDef: Painstopper, BionicIconsIconDef: VFEISynapticCerebellum, BodyDef: Axolotl, BodyDef: Axolotl_LeafSheep, BodyDef: BeetleLike, BodyDef: BeetleLikeWithCla",,BodyPartsNatural,Brain
눈,,,,,"궤도 상인 구매, 상인 구매","BodyDef: Axolotl, BodyDef: Axolotl_LeafSheep, BodyDef: BeetleLike, BodyDef: BeetleLikeWithClaw, BodyDef: Bird, BodyDef: Bulbfreak, BodyDef: Crab, BodyDef: Devourer, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Dreadmeld, BodyDef: Fingerspike, BodyDef: Gorehulk, BodyDef: Human,",,BodyPartsNatural,Eye
다리,,,,,"궤도 상인 구매, 상인 구매","AriandelLibrary.ShroudOutcomeDef: AL_Outcome_test, BionicIconsIconDef: AnimalLeg, BionicIconsIconDef: BoneSaber, BodyDef: Axolotl, BodyDef: Bird, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: DroneWithThreeLegs, BodyDef: Gorehulk, BodyDef: Human, BodyDef: MUSC_Body_Hydralisk, B",,BodyPartsNatural,Leg
발,,,,,"궤도 상인 구매, 상인 구매","BodyDef: Axolotl, BodyDef: Bird, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Gorehulk, BodyDef: Human, BodyDef: Milira_Body, BodyDef: Monkey, 능력·유전자: Axolotl_Blood_Skill, 능력·유전자: Axolotl_Blood_SuperSkill, 능력·유전자: Axolotl_SwordAura_Blood",,BodyPartsNatural,Foot
손,,,,,"궤도 상인 구매, 상인 구매","BionicIconsIconDef: PowerClaw, BodyDef: Axolotl, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Human, BodyDef: Milira_Body, BodyDef: Monkey, 능력·유전자: Axolotl_Blood_Skill, 능력·유전자: Axolotl_Blood_SuperSkill, 능력·유전자: Axolotl_SwordAura_Blood",,BodyPartsNatural,Hand
위,,,,,"궤도 상인 구매, 상인 구매","BodyDef: Axolotl, BodyDef: Axolotl_LeafSheep, BodyDef: BeetleLike, BodyDef: BeetleLikeWithClaw, BodyDef: Bird, BodyDef: Bulbfreak, BodyDef: Crab, BodyDef: Devourer, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Dreadmeld, BodyDef: Fingerspike, BodyDef: Gorehulk, BodyDef: Human,",,BodyPartsNatural,Stomach
코,,,,,"궤도 상인 구매, 상인 구매","AlienRace.ThingDef_AlienRace: Axolotl, AlienRace.ThingDef_AlienRace: Dragonian_Prime_DP2Unofficial, AlienRace.ThingDef_AlienRace: Dragonian_Race, AlienRace.ThingDef_AlienRace: Milira_Race, BodyDef: Axolotl, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Human, BodyDef: Milira_Bo",,BodyPartsNatural,Nose
팔,,,,,"궤도 상인 구매, 상인 구매","BionicIconsIconDef: ArmDrill, BodyDef: Axolotl, BodyDef: Crab, BodyDef: Dragonian_Body, BodyDef: Dragonian_DP2Unofficial, BodyDef: Human, BodyDef: MUSC_Body_Hydralisk, BodyDef: MUSC_Body_Ulari, BodyDef: MUSC_Body_WalkingScourge, BodyDef: MUSC_Body_Zergling, BodyDef: MUSC_Body_ZerglingWinged, BodyDef",,BodyPartsNatural,Arm
진공보호 혈청,Anomaly for Gravship,제작 가능,혈청 연구대,,"궤도 상인 구매, 상인 구매",,,Drugs,VacProtectSerum
고급 초월공학 다리,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsArchotech,AdvancedArchotechLeg
고급 초월공학 팔,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsArchotech,AdvancedArchotechArm
나노머신,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,"ResourcesRaw, Textiles",Nanomachinery
아토머신,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,"ResourcesRaw, Textiles",Attomachinery
초월공학 간,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechLiver
초월공학 골반,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechPelvis
초월공학 귀,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechEar
초월공학 뇌 도우미,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsArchotech,ArchotechBrainMelder
초월공학 멸절기,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsArchotech,ArchotechDeathClaw
초월공학 신장,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechKidney
