제작품,만드는 작업대 수,가장 빠른 작업대,1개당 작업량(최고 속도),전체 작업대(1개당 작업량),key
"""심연""",2,전기 단조 작업대,6087,"전기 단조 작업대(6087), 단조 작업대(6087)",T:RM_BlackWound
130mm 고폭탄,1,CMC 주조 가공대,16,CMC 주조 가공대(16),T:CMC_300mmEMLShell
"<color=#5BC4E2><i>QBB-302T ""Zheng"" 특수 기관총</i></color>",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:W85X_Thunderer
"<color=#5BC4E2><i>QBUS-85F ""Lihuo"" 스마트 전술 지정사수소총</i></color>",1,CMC 나노 CNC 작업대,7087,CMC 나노 CNC 작업대(7087),T:QBUS85F
"<color=#CEEAED>AR-105R ""Jiuying"" 돌격소총</color>",1,CMC 나노 CNC 작업대,3937,CMC 나노 CNC 작업대(3937),T:QBZ_threeooED
"<color=#CEEAED>AR-231F ""Qilin"" 돌격소총</color>",1,CMC 나노 CNC 작업대,5512,CMC 나노 CNC 작업대(5512),T:QBZ_fivenineFlame
"<color=#CEEAED>QFT-1 ""Xihe"" 펄스 화염방사기</color>",1,CMC 나노 CNC 작업대,5512,CMC 나노 CNC 작업대(5512),T:PrototypeXiHe
"<color=#CEEAED>SG-131F ""Bifang"" 산탄총</color>",1,CMC 나노 CNC 작업대,3622,CMC 나노 CNC 작업대(3622),T:CMC_QBAfournineFlame
"<color=#FFAA00><i>QBL-X ""Taotie"" 입자 랜스 Δ</i></color>",1,CMC 나노 CNC 작업대,8189,CMC 나노 CNC 작업대(8189),T:CMC_TaoTie_Persona
"<color=#FFAA00><i>QBP-X ""Qiyao"" 펄스 소총 δ</i></color>",1,CMC 나노 CNC 작업대,7244,CMC 나노 CNC 작업대(7244),T:CMC_QiyaoLaserLMG
"<color=#FFAA00><i>QBU-X ""Xuanming"" 지정사수소총 Δ</i></color>",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:QBZoneooneXuanMing_Elite
"<color=#FFAA00><i>QLU-X ""Zhurong"" 펄스 이온포 Δ</i></color>",1,CMC 나노 CNC 작업대,14961,CMC 나노 CNC 작업대(14961),T:QLUX_Pulse_Projector_Persona
<color=#FFAA00><i>반엔트로피검</i></color>,1,조립 작업대,6087,조립 작업대(6087),T:CMC_EMPsword_sevenstars
AR-23 가우스 자동소총,2,밀리라 중력 직조기,4762,"밀리라 중력 직조기(4762), 태양 용광로(14286)",T:Milira_CiGaussAutorifle
AR-61 가우스 자동소총,2,밀리라 중력 직조기,21429,"밀리라 중력 직조기(21429), 태양 용광로(64286)",T:Milira_GaussAutorifle
AR/GL-21 12,1,태양 용광로,53214,태양 용광로(53214),T:PLAMilira_OneTwo
BB-01Z 펄스 제트팩,1,CMC 주조 가공대,1417,CMC 주조 가공대(1417),T:CMC_rocketpack
BD-01X 범용 동력 헬멧,1,CMC 주조 가공대,4606,CMC 주조 가공대(4606),T:CMChelmet
BD-01Y 기본형 동력 갑옷,1,CMC 주조 가공대,13858,CMC 주조 가공대(13858),T:CMC_HPA_Base
BD-02X 중장형 동력 헬멧,1,CMC 주조 가공대,4921,CMC 주조 가공대(4921),T:CMChelmetM
BD-02Y 중장형 동력 갑옷,1,CMC 주조 가공대,13858,CMC 주조 가공대(13858),T:CMC_HPA_Heavy
BD-03C 기계 제어 AR 고글,1,CMC 주조 가공대,2244,CMC 주조 가공대(2244),T:CMC_ARGoggles_Cat
BD-03S 나노 전투복,1,CMC 주조 가공대,4567,CMC 주조 가공대(4567),T:CMC_Uniform
BD-03X AR 전술 고글,1,CMC 주조 가공대,2244,CMC 주조 가공대(2244),T:CMC_ARGoggles
BD-03Y 광학 위장 코트,1,CMC 주조 가공대,4882,CMC 주조 가공대(4882),T:CMC_Uniform_MKII
BRF-X 퍼널 배치 시스템,1,CMC 주조 가공대,12598,CMC 주조 가공대(12598),T:CMC_FunnelHauler
BX-01 이온 보호막 벨트,1,CMC 주조 가공대,11654,CMC 주조 가공대(11654),T:CMC_ZGRangedShieldBelt_MKI
BX-02 보호막 벨트,1,CMC 주조 가공대,11654,CMC 주조 가공대(11654),T:CMC_ZGRangedShieldBelt
Basic Wear (child) (Dragonian Primus),2,전기 재봉 작업대,435,"전기 재봉 작업대(435), 재봉 작업대(476)",T:DR_BasicWearChild_DP2Unofficial
CA-T4 피하 장갑,1,CMC 주조 가공대,17165,CMC 주조 가공대(17165),T:CMC_SubdermalArmour
CB-A1 생체공학 팔,1,CMC 주조 가공대,17165,CMC 주조 가공대(17165),T:CMC_BionicArm_Hediff
CB-L1 생체공학 다리,1,CMC 주조 가공대,17165,CMC 주조 가공대(17165),T:CMC_BionicLeg_Hediff
CEF 개인 데이터 단말기,1,CMC 주조 가공대,630,CMC 주조 가공대(630),T:CMC_personalterminal
CLSMG,1,기계 작업대,12174,기계 작업대(12174),T:NCL_CLSMG
"CN-01 ""Dubhe"" 칩",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:CMC_TianShu_Thing
"CN-02 ""Merak"" 칩",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:CMC_TianXuan_Thing
"CN-03 ""Phecda"" 칩",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:CMC_TianJi_Thing
"CN-04 ""Megrez"" 칩",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:CMC_TianQuan_Thing
"CN-05 ""Alioth"" 칩",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:CMC_YuHeng_Thing
"CN-06 ""Mizar"" 칩",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:CMC_KaiYang_Thing
"CN-07 ""Alkaid"" 칩",1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:CMC_YaoGuang_Thing
DBS-2 산탄총,2,밀리라 중력 직조기,4762,"밀리라 중력 직조기(4762), 태양 용광로(14286)",T:Milira_DBSIIShotgun
DX-04 플라즈마 직도,1,CMC 나노 CNC 작업대,10236,CMC 나노 CNC 작업대(10236),T:CMC_TangDao_Plasma
Doxa-0,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:TW_Mech_Doxa
FAF-14 스피어,1,태양 용광로,64286,태양 용광로(64286),T:PLAMilira_Spear
HJ301 대전차 미사일 발사기,1,CMC 나노 CNC 작업대,5512,CMC 나노 CNC 작업대(5512),T:CMC_HJX_ATGM
M36 PGM (고폭탄),2,조립 작업대,348,"조립 작업대(348), 나노 조립기(2000)",T:EccentricDefenseGrid_Ordnance_M36PGM
M38 PGM (소이탄),2,조립 작업대,348,"조립 작업대(348), 나노 조립기(2000)",T:EccentricDefenseGrid_Ordnance_M38PGM
M39 PGM (EMP탄),2,조립 작업대,348,"조립 작업대(348), 나노 조립기(2000)",T:EccentricDefenseGrid_Ordnance_M39PGM
M48 PGM (대전차 고폭탄),2,조립 작업대,348,"조립 작업대(348), 나노 조립기(2000)",T:EccentricDefenseGrid_Ordnance_M48PGM
