세력,모드,packageId,defName,기술 수준,영구 적대,기본 적대,숨김,궤도(우주) 습격,최고 전투력,주요 전투 병종(전투력),선행 모드,목록에서 뺀 이유
死伽屋,[Aya]Chaoura Race,ayameduki.harchaoura,Chaoura_Faction_NPC,Ultra,예,,예,예,500,"ケイオーラの住人(500), ケイオーラのリーダー(500)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
UR31 종파,Monolyn Race,asel.monolynrace,UrielCult,Spacer,예,,예,예,280,"석궁수(120), 석궁수(120), 엑스커베이터(280), Knight(180), 기사(180), 호위대(120)",erdelf.humanoidalienraces,
Xenoorca_Faction,[Aya]Xenoorca Race,ayameduki.harxenoorca,Xenoorca_Faction_NPC,Ultra,예,,,예,80,"HAR_Xenoorca_NPC_Leader(?), オルキヌス旅団の兵士(80), オルキヌス旅団の副団長(80)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
Colonization legacies,The Dead Man's Switch,aoba.deadmanswitch.core,DMS_Legacy,Spacer,,,예,예,180,"Pioneer(180), falcon(20), arquebusier(180), Phalanx(120), Ronin(150), vanguard(80)","brrainz.harmony, aoba.framework",D. Dead Man's Switch 시리즈 + 전용 프레임워크
レイスワンズ,[Aya]Nearmare Race,ayameduki.harnearmare,Nearmaere_Faction_NPC_b,Spacer,,예,,예,150,"ニアメーアの住人(150), ニアメーアの銃士(150), ニアメーアの狙撃手(150), ニアメーアの砲手(150), ニアメーアの工作員(150), ニアメーアのリーダー(150)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
アレテイア教会,[Aya]Nearmare Race,ayameduki.harnearmare,Nearmaere_Faction_NPC_c,Ultra,,,,예,100,"教徒(50), ニアメーアの教徒(100), ニアメーアの司教(100)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
辺境惑星保全機構-ETHOS-,[Aya]Nearmare Race,ayameduki.harnearmare,Nearmaere_Faction_NPC_e,Ultra,,,,예,100,"ETHOS隊員(100), ETHOS司令官(100)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
cradle,Cinders of the Embergarden,breadmo.cinders,Cinder_ESDSP,Archotech,예,,예,,1800,"Mass production Tombstone(1400), eroded exoskeleton(900), Tombstone(1800), war sweeper(1100), war attacker(1300), Tactical turret walker(75)",brrainz.harmony,
미트라의 성전군,Atar Xenotype,atar.xenohuman.septentrionrace,Atar_sanctuary,Ultra,예,,,,300,"아타르 전사(140), 옵시디언 스펙터(160), 아타르 보병(120), 옵시디언 헌터(240), 조디악 사무라이(300), 옵시디언 헌터 트루퍼(280)",,
Wolfein Resistance army,Wolfein Race,melondove.wolfeinrace,Wolfein_Faction_Rebel,Spacer,예,예,예,,240,"Wolfein Rebel Soldier(240), Wolfein Rebel Scout(160), Wolfein Rebel Scout(120), Close-Combat Resistance Mech Unit(175), Basic Resistance Army Mech Unit(175)","erdelf.humanoidalienraces, ancot.ancotlibrary",
FREAKS,Hellsing ARMS Ultimate,baskerville.hellsingarmsultimate,HSAU_FelonFREAKS,Industrial,예,,예,,180,"ghoul(40), armed ghoul(40), artificial vampire(80), true vampire (S)(180), true vampire(140)","erdelf.humanoidalienraces, oskarpotocki.vanillafactionsexpanded.core",성형수술·헬싱 제외 (헬테이커 계열은 이미 제외) (2026-09-24 확정)
rough colonial expedition,A Brave New Frontier,kp.bravenewfrontier,KP_Offworlder_Rough,Spacer,예,,,,180,"heavy raider(125), veteran mercenary(115), mercenary(95), hired gun(65), stalker(100), company marshall(180)",brrainz.harmony,B·C·E 제외 추천 (2026-09-24 확정)
Commando Squad,Glitter Tech Classic,gt.sam.glittertech,GTCommando,Ultra,예,,예,,180,"Commando(150), Commando Heavy(180), Commando Scout(170)",,Glitter Tech / 기능 중복 / 영양죽 / 불필요 (2026-09-24 확정)
Millennium,Hellsing ARMS Ultimate,baskerville.hellsingarmsultimate,HSAU_Millennium,Industrial,예,,,,140,"Vampire Panzer-Grenadier(120), Armoured Ghoul(90), Vampire Light Rifleman(120), Vampire Heavy Rifleman(140), Vampire Panzer-Grenadier (S)(120), Vampire Grenadier(120)","erdelf.humanoidalienraces, oskarpotocki.vanillafactionsexpanded.core",성형수술·헬싱 제외 (헬테이커 계열은 이미 제외) (2026-09-24 확정)
(deprecated) MegaCorp Crash Survivors,Wolfein Allegiance,leopoko.wolfeinallegiance,WA_ShuttleHackRaiders,Spacer,예,예,예,,140,"용병 사수(85), 용병 저격수(110), 용병 도살자(140)",melondove.wolfeinrace,
black mechanoid hive,Glitterworld Destroyer 5 - Mechanoid Addon,fxz.glitterworlddestroyer.mk5,BlackMechanoid,Ultra,,,예,,50000,"scyther in black(50000), lancer in black(50000)","brrainz.harmony, oskarpotocki.vanillafactionsexpanded.core",메카 정리 (2026-09-24 확정): OP 대체·관리종료·적 메카 중복(GD5)·메카 부가 시스템
lantern fleet,Cinders of the Embergarden,breadmo.cinders,Cinder_OutlanderCivil,Spacer,,,,,1800,"Imitation Tombstone(1200), Tombstone(1800), Tactical turret walker(75), cult guard(180), Autocannon walker(300), Uranium slug walker(400)",brrainz.harmony,
Wolfein Mega Corp,Wolfein Race,melondove.wolfeinrace,Wolfein_Faction_MegaCorp,Spacer,,,,,1200,"Wolfein Extra Heavy Multi-Legged Firepower Platform(1200), Wolfein Mega Corp Armed Clerk(160), Wolfein Mega Corp Guard(170), Close-Combat Military Mech Unit(200), Basic Military Mech Unit(200), Wolfein mechanoid drone(80)","erdelf.humanoidalienraces, ancot.ancotlibrary",
