방/갑판,건물,defName,모드,x(좌상),y(좌상),가로,세로,작업칸,전력(W),연결 설비 수,연결 보너스
가로 통로 1,산소 펌프,OxygenPump,Odyssey DLC,2,48,1,1,,-150.0,,
가로 통로 1,산소 펌프,OxygenPump,Odyssey DLC,142,46,1,1,,-150.0,,
가로 통로 1,전열 파일런,HeaterPylon_GT,GravTech,29,46,1,1,,30.0,,
가로 통로 1,전열 파일런,HeaterPylon_GT,GravTech,120,46,1,1,,30.0,,
가로 통로 2,산소 펌프,OxygenPump,Odyssey DLC,4,90,1,1,,-150.0,,
가로 통로 2,산소 펌프,OxygenPump,Odyssey DLC,142,91,1,1,,-150.0,,
가로 통로 2,전열 파일런,HeaterPylon_GT,GravTech,29,91,1,1,,30.0,,
가로 통로 2,전열 파일런,HeaterPylon_GT,GravTech,120,91,1,1,,30.0,,
간부실 A,고급 사주식 침대,Bed_Kingsize,Vanilla Furniture Expanded,50,63,2,2,,0.0,,
간부실 A,산소 펌프,OxygenPump,Odyssey DLC,51,74,1,1,,-150.0,,
간부실 A,옷장,Dresser,코어,52,63,2,1,,0.0,,
간부실 A,옷장,Dresser,코어,54,63,2,1,,0.0,,
간부실 A,협탁,EndTable,코어,56,63,1,1,,0.0,,
간부실 A,협탁,EndTable,코어,57,63,1,1,,0.0,,
간부실 B,고급 사주식 침대,Bed_Kingsize,Vanilla Furniture Expanded,50,76,2,2,,0.0,,
간부실 B,산소 펌프,OxygenPump,Odyssey DLC,51,87,1,1,,-150.0,,
간부실 B,옷장,Dresser,코어,52,76,2,1,,0.0,,
간부실 B,옷장,Dresser,코어,54,76,2,1,,0.0,,
간부실 B,협탁,EndTable,코어,56,76,1,1,,0.0,,
간부실 B,협탁,EndTable,코어,57,76,1,1,,0.0,,
개인 침실 1,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,56,10,2,2,,0.0,,
개인 침실 1,산소 펌프,OxygenPump,Odyssey DLC,51,17,1,1,,-150.0,,
개인 침실 1,옷장,Dresser,코어,52,10,2,1,,0.0,,
개인 침실 1,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,50,10,2,2,,0.0,,
개인 침실 1,협탁,EndTable,코어,54,10,1,1,,0.0,,
개인 침실 1,협탁,EndTable,코어,55,10,1,1,,0.0,,
개인 침실 10,산소 펌프,OxygenPump,Odyssey DLC,62,35,1,1,,-150.0,,
개인 침실 10,옷장,Dresser,코어,63,28,2,1,,0.0,,
