x,y,종류
73,9,격벽
22,22,격벽
45,10,격벽
-3,22,격벽
0,-2,일반 문
-3,-10,초월공학 문 (무전력)
-3,45,일반 문
-3,55,일반 문
-3,82,일반 문
20,30,일반 문
10,38,일반 문
10,45,일반 문
20,42,일반 문
24,27,일반 문
45,27,일반 문
24,38,일반 문
30,45,일반 문
45,38,일반 문
10,49,일반 문
20,55,일반 문
20,68,일반 문
10,88,일반 문
20,81,일반 문
24,55,일반 문
45,55,일반 문
24,68,일반 문
45,68,일반 문
24,81,일반 문
45,81,일반 문
35,88,일반 문
11,92,격벽
45,100,격벽
49,13,일반 문
71,13,일반 문
49,22,일반 문
71,22,일반 문
75,13,일반 문
98,13,일반 문
75,22,일반 문
98,22,일반 문
49,31,일반 문
71,31,일반 문
75,31,일반 문
98,31,일반 문
49,40,일반 문
71,40,일반 문
75,40,일반 문
98,40,일반 문
108,25,일반 문
139,12,일반 문
141,25,일반 문
108,29,일반 문
108,45,일반 문
102,37,일반 문
122,29,일반 문
122,45,일반 문
136,29,일반 문
60,49,일반 문
49,55,일반 문
86,49,일반 문
98,55,일반 문
49,68,일반 문
73,62,일반 문
84,68,일반 문
70,75,일반 문
98,68,일반 문
49,81,일반 문
70,88,일반 문
78,81,일반 문
82,88,일반 문
86,81,일반 문
92,88,일반 문
98,81,일반 문
102,55,일반 문
108,49,일반 문
114,64,일반 문
108,68,일반 문
116,49,일반 문
116,61,일반 문
124,49,일반 문
124,61,일반 문
137,49,일반 문
137,57,일반 문
132,68,일반 문
109,88,일반 문
102,78,일반 문
114,72,일반 문
114,82,일반 문
123,88,일반 문
132,80,일반 문
136,88,일반 문
102,98,일반 문
109,92,일반 문
123,92,일반 문
137,92,일반 문
102,109,일반 문
49,98,일반 문
61,92,일반 문
98,98,일반 문
86,92,일반 문
47,112,격벽
55,113,격벽
100,112,격벽
92,113,격벽
150,13,일반 문
150,25,일반 문
144,27,일반 문
148,29,일반 문
155,29,일반 문
155,89,격벽
144,47,진공 장벽
148,89,진공 장벽
44,-11,초월공학 문 (무전력)
47,0,격벽
47,-4,격벽
45,-2,격벽
100,0,격벽
103,-7,초월공학 문 (무전력)
39,-8,격벽
49,-8,격벽
98,-3,격벽
108,-3,격벽
