구분,이름,분류,x,y,가로,세로,칸 수,기둥,메모
방,세로 통로 1,corridor,46,1,3,111,333,0,
방,세로 통로 2,corridor,99,1,3,111,333,0,
방,가로 통로 1,corridor,1,46,143,3,429,0,
방,가로 통로 2,corridor,1,89,143,3,429,0,
방,거주 통로,corridor,72,10,3,36,108,0,
방,코어 진입 통로,corridor,72,49,3,13,39,0,
방,실체 구역 통로,corridor,102,26,42,3,126,0,
방,서쪽 통로,corridor,21,23,3,66,198,0,
방,서쪽 외곽 1,spare,-6,-9,6,9,54,0,게임에서 지은 외곽 공실
방,서쪽 외곽 2,spare,-6,23,6,22,132,0,게임에서 지은 외곽 공실
방,서쪽 외곽 3,spare,-6,46,6,9,54,0,게임에서 지은 외곽 공실
방,서쪽 외곽 4,spare,-6,56,6,26,156,0,게임에서 지은 외곽 공실
방,서쪽 외곽 5,spare,-6,83,6,9,54,0,게임에서 지은 외곽 공실
방,수경 농장,farm,1,23,19,15,285,1,대형 자동 수경재배기 24기 (경작 216칸)
방,약품 가공실,work,1,39,19,6,114,0,
방,수족관,farm,25,23,20,8,160,0,대형 바닥 수족관 7기
방,폐기물·보호막실,mech,25,32,20,13,260,1,폐기물 분해 · 보호막 W
방,충전 격납고 A,mech,1,50,19,12,228,0,
방,충전 격납고 B,mech,1,63,19,9,171,0,
방,채굴실,farm,1,73,19,15,285,1,자동 공허 채굴기
방,초월공학 작업실,work,25,50,20,12,240,0,
방,무기고,defense,25,63,20,12,240,0,무기 거치대·수리대
방,메카 제작실,mech,25,76,20,12,240,0,
방,개인 침실 1,bed,50,10,10,8,80,0,
방,개인 침실 2,bed,61,10,10,8,80,0,
방,개인 침실 3,bed,50,19,10,8,80,0,
방,개인 침실 4,bed,61,19,10,8,80,0,
방,개인 침실 5,bed,76,10,10,8,80,0,
방,개인 침실 6,bed,87,10,11,8,88,0,
방,개인 침실 7,bed,76,19,10,8,80,0,
방,개인 침실 8,bed,87,19,11,8,88,0,
방,개인 침실 9,bed,50,28,10,8,80,0,
방,개인 침실 10,bed,61,28,10,8,80,0,
방,개인 침실 11,bed,76,28,10,8,80,0,
방,개인 침실 12,bed,87,28,11,8,88,0,
방,개인 침실 13,bed,50,37,10,8,80,0,
방,개인 침실 14,bed,61,37,10,8,80,0,
방,개인 침실 15,bed,76,37,10,8,80,0,
방,개인 침실 16,bed,87,37,11,8,88,0,
방,의식실,entity,103,1,11,24,264,0,
방,실체보관실,entity,115,1,24,24,576,4,중력 구속대 30기
방,실체 격리 전실,entity,140,1,4,24,96,0,
방,연구실,lab,103,30,27,15,405,3,일반·실체 연구 통합 (연구 연결 설비 공유)
방,생체강 가공실,entity,131,30,13,15,195,1,
방,오락·도서실,living,50,50,21,12,252,0,
방,대식당,living,76,50,22,12,264,0,
방,간부실 A,bed,50,63,12,12,144,0,
방,중력구동기실,command,63,63,21,12,252,0,중력 단조대 3기 포함
방,조종실,command,85,63,13,12,156,0,
방,간부실 B,bed,50,76,12,12,144,0,
방,반응로실,power,63,76,15,12,180,0,특이점 반응로 2기
방,기계실,power,79,76,7,12,84,0,자기 보호막 발생기·냉각
방,반응로실 2,power,87,76,11,12,132,0,특이점 반응로 1기
방,주방,living,103,50,11,18,198,0,냉장 적재함 겸용
방,교도 통로,prison,115,50,3,11,33,0,
방,치료실,med,119,50,13,11,143,0,
방,성장 배양실,bio,133,50,11,7,77,0,
방,수감 홀,prison,115,62,17,14,238,1,통짜 공용 감방
방,유전자 연구소,bio,133,58,11,14,154,0,
방,시체·부산물 가공실,work,103,69,11,19,209,0,단순작업 겸용
방,의류 제작실,work,115,77,17,11,187,0,
방,화학 제작실,work,133,73,11,15,165,0,
방,연료실,power,103,93,13,12,156,0,
방,예비 발전실,power,117,93,13,12,156,0,영점 반응로 2기 자리 · 보호막 SE
방,남동 공실 2,spare,131,93,13,12,156,0,옛 진입로 정비실 · 확장 자리
방,남동 공실,spare,103,106,41,8,328,0,게임에서 지은 외곽 공실 · 확장 자리
방,금속·부품 작업실,work,50,93,28,19,532,3,같은 재료 작업대 모음 · 보호막 S
방,밀리라 작업실,work,79,93,19,19,361,1,
방,남측 에어록 1,airlock,46,113,9,5,45,0,세로 통로 1 끝 · 추진기 갑판 출입
방,남측 에어록 2,airlock,93,113,9,5,45,0,세로 통로 2 끝 · 추진기 갑판 출입
방,방어 설비실,defense,145,1,13,12,156,0,보호막 NE·확장기·방어 주 스위치
방,동쪽 공실,spare,145,14,13,11,143,0,방어 설비실에서 나눔 · 확장 자리
방,경비 통로,sidepath,145,26,13,3,39,0,정착민용 옆길
방,북측 경비실,defense,145,30,7,15,105,0,근거리 방어
방,동측 경비실,defense,153,30,5,59,295,0,근거리 방어 · 킬존 옆
방,킬존 회랑,killzone,145,46,7,43,301,0,지그재그 총안 벽
방,북측 에어록 1,airlock,40,-10,9,6,54,0,격벽 이중문
방,북측 전실,airlock,46,-3,3,3,9,0,세로 통로 1 끝 · 에어록 1 앞
방,북서 연결 통로,corridor,1,-3,44,3,132,0,
방,북측 에어록 2,airlock,99,-6,9,6,54,0,격벽 이중문
갑판,북서 격납 갑판,deck,-6,1,51,21,1071,0,지붕 없음 · 전투기·센서 · 게임에서 서쪽 외곽까지 넓힘
갑판,남서 격납 갑판,deck,1,93,44,21,924,0,지붕 없음 · 왕복선·착륙장·교역·방공
갑판,추진기 갑판,deck,56,113,36,5,180,0,지붕 없음 · 추진기 12기 · 배기 남쪽
갑판,방어 진입 갑판,deck,145,90,13,20,260,0,지붕 없음 · 습격 유도 진입로 (남쪽 입구)
갑판,북서 포대 갑판,deck,1,-16,38,12,456,0,지붕 없음 · 장거리 포탑 · 확장 예비지
갑판,북측 포대 갑판,deck,50,-16,48,25,1200,0,지붕 없음 · 장거리 포탑 · 확장 예비지
갑판,북동 포대 갑판,deck,109,-16,49,16,784,0,지붕 없음 · 장거리 포탑 · 확장 예비지
